Measure,Commodity,Date,Value
$,All,2021-11-26,2227000000
$,Electrical machinery and equip,2020-11-06,96000000
$,"Fish, crustaceans, and molluscs",2017-09-25,21000000
$,Fruit,2020-05-03,63000000
$,"Logs, wood, and wood articles",2021-07-30,97000000
$,Meat and edible offal,2017-05-21,99000000
$,Mechanical machinery and equip,2018-10-02,143000000
$,"Milk powder, butter, and cheese",2019-12-04,419000000
$,Non-food manufactured goods,2020-06-26,565000000
Tonnes,"Fish, crustaceans, and molluscs",2019-02-05,4000
Tonnes,"Logs, wood, and wood articles",2019-09-28,476000
Tonnes,Meat and edible offal,2015-03-02,14000
Tonnes,"Milk powder, butter, and cheese",2019-12-04,87000
