Measure,Commodity,Value
$,"Fish, crustaceans, and molluscs",15445000000
$,Fruit,22197000000
$,"Logs, wood, and wood articles",50381000000
$,Electrical machinery and equip,51554000000
$,Mechanical machinery and equip,72603000000
$,Meat and edible offal,78512000000
$,"Milk powder, butter, and cheese",157284000000
$,Non-food manufactured goods,403154000000
$,All,2386667000000
Tonnes,"Fish, crustaceans, and molluscs",1832000
Tonnes,Meat and edible offal,10372000
Tonnes,"Milk powder, butter, and cheese",35791000
Tonnes,"Logs, wood, and wood articles",264402000
